"Rank","Title","Description","Runtime","Genre","Rating","Metascore","Votes","Director","Main_Actor"
43,"Titane","Following a series of unexplained crimes, a father is reunited with the son who has been missing for 10 years. Titane: A metal highly resistant to heat and corrosion, with high tensile strength alloys.",108,"Drama",6.7,75,31378,"Julia Ducournau","Vincent Lindon"
44,"A Mulher na Janela","An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence.",100,"Crime",5.7,41,69667,"Joe Wright","Amy Adams"
45,"Venom: Tempo de Carnificina","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",97,"Action",6,49,174493,"Andy Serkis","Tom Hardy"
46,"Alerta Vermelho","An Interpol agent tracks the world's most wanted art thief.",118,"Action",6.3,37,235307,"Rawson Marshall Thurber","Dwayne Johnson"
47,"Espíritos Obscuros","In an isolated Oregon town, a middle-school teacher and her sheriff brother become embroiled with her enigmatic student, whose dark secrets lead to terrifying encounters with an ancestral creature.",99,"Drama",5.9,57,25351,"Scott Cooper","Keri Russell"
48,"Bar Doce Lar","A boy growing up on Long Island seeks out father figures among the patrons at his uncle's bar.",106,"Drama",6.8,53,20228,"George Clooney","Ben Affleck"
49,"Imperdoável","A woman is released from prison after serving a sentence for a violent crime and re-enters a society that refuses to forgive her past.",112,"Crime",7.2,41,94084,"Nora Fingscheidt","Sandra Bullock"
50,"Le loup et le lion","A wolf pup and a lost lion cub are rescued by a girl in the heart of the Canadian wilderness. Their friendship will change their lives forever.",99,"Family",6.2,36,545,"Gilles de Maistre","Molly Kunz"
51,"Pinocchio: A True Story","Young Pinocchio runs away from his genius creator Jepetto accompanied by the horse Tibalt to see the world and joins the traveling circus run by hustler Modjafocco.",84,"Animation",2.2,NA,126,"Vasiliy Rovenskiy","Pauly Shore"
52,"A Mão de Deus","In 1980s Naples, young Fabietto pursues his love for football as family tragedy strikes, shaping his uncertain but promising future as a filmmaker.",130,"Drama",7.4,76,29468,"Paolo Sorrentino","Filippo Scotti"
53,"O Cavaleiro Verde","A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.",130,"Adventure",6.6,85,81554,"David Lowery","Dev Patel"
54,"Observadores","Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster.",116,"Drama",6,54,15885,"Michael Mohan","Sydney Sweeney"
55,"Anne Frank, Minha Melhor Amiga","This story is based on the memoirs of Frank's friend Hannah Goslar.",103,"Drama",6.3,NA,2720,"Ben Sombogaart","Aiko Beemsterboer"
56,"Viúva Negra","Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.",134,"Action",6.7,67,335298,"Cate Shortland","Scarlett Johansson"
57,"Pig","A truffle hunter who lives alone in the Oregon wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.",92,"Drama",7,82,55761,"Michael Sarnoski","Nicolas Cage"
58,"Cruella","A live-action prequel feature film following a young Cruella de Vil.",134,"Adventure",7.4,59,211028,"Craig Gillespie","Emma Stone"
59,"Infinite","A man discovers that his hallucinations are actually visions from past lives.",106,"Action",5.5,28,42330,"Antoine Fuqua","Mark Wahlberg"
60,"Infiltrado","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",119,"Action",7.1,57,150402,"Guy Ritchie","Jason Statham"
61,"After Yang","In a near future, a family reckons with questions of love, connection, and loss after their A.I. helper unexpectedly breaks down.",96,"Drama",7.4,84,472,"Kogonada","Colin Farrell"
62,"Raya e o Último Dragão","In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon.",107,"Animation",7.3,75,134566,"Don Hall","Kelly Marie Tran"
63,"Last Looks","A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate a murder.",110,"Action",5.7,48,3332,"Tim Kirkby","Charlie Hunnam"
64,"Liga da Justiça de Zack Snyder","Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",242,"Action",8.1,54,360294,"Zack Snyder","Henry Cavill"
65,"Pushpa: The Rise - Part 1","Story of Pushpa Raj, a lorry driver in Seshachalam forests of South India, set in the backdrop of red sandalwood smuggling. Red Sandalwood is endemic to South-Eastern Ghats (mountain range) of India.",179,"Action",7.9,NA,44724,"Sukumar","Allu Arjun"
66,"Maligno","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",111,"Crime",6.3,51,74848,"James Wan","Annabelle Wallis"
67,"Benedetta","A 17th-century nun in Italy suffers from disturbing religious and erotic visions. She is assisted by a companion, and the relationship between the two women develops into a romantic love affair.",131,"Biography",6.8,73,11712,"Paul Verhoeven","Virginie Efira"
68,"A Família Mitchell e a Revolta das Máquinas","A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope.",113,"Animation",7.7,81,90768,"Michael Rianda","Abbi Jacobson"
69,"Luca","On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",95,"Animation",7.5,71,137896,"Enrico Casarosa","Jacob Tremblay"
70,"C'mon C'mon","When his sister asks him to look after her son, a radio journalist embarks on a cross-country trip with his energetic nephew to show him life away from Los Angeles.",109,"Drama",7.6,82,14928,"Mike Mills","Joaquin Phoenix"
71,"Fogo Cruzado","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",107,"Action",6.2,61,22415,"Joe Carnahan","Gerard Butler"
72,"Tempo","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",108,"Drama",5.8,55,84401,"M. Night Shyamalan","Gael García Bernal"
73,"Velozes & Furiosos 9","Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.",143,"Action",5.2,58,113603,"Justin Lin","Vin Diesel"
74,"O Jogo de Amor - Ódio","Resolving to achieve professional success without compromising her ethics, Lucy embarks on a ruthless game of one-upmanship against cold and efficient nemesis Joshua, a rivalry that is complicated by her growing attraction to him.",102,"Comedy",6.4,NA,7218,"Peter Hutchings","Lucy Hale"
75,"Exército de Ladrões: Invasão da Europa","A prequel, set before the events of Army of the Dead, which focuses on German safecracker Ludwig Dieter leading a group of aspiring thieves on a top secret heist during the early stages of the zombie apocalypse.",127,"Action",6.4,49,65616,"Matthias Schweighöfer","Matthias Schweighöfer"
76,"Vingança & Castigo","When an outlaw discovers his enemy is being released from prison, he reunites his gang to seek revenge.",139,"Action",6.6,68,53830,"Jeymes Samuel","Jonathan Majors"
77,"Dupla Explosiva 2: E a Primeira-Dama do Crime","The bodyguard, Michael Bryce, continues his friendship with assassin, Darius Kincaid, as they try to save Darius' wife Sonia.",100,"Action",6.1,32,75249,"Patrick Hughes","Ryan Reynolds"
78,"Miss Willoughby and the Haunted Bookshop","A University professor with an insatiable appetite for investigation is asked by some old family friends to investigate a series of hauntings at their antique bookstore.",90,"Adventure",5,NA,203,"Brad Watson","Nathalie Cox"
79,"Os Pequenos Vestígios","Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",128,"Crime",6.3,54,89815,"John Lee Hancock","Denzel Washington"
80,"Eight for Silver","In rural 19th-century France, a mysterious, possibly supernatural menace threatens a small village. John McBride, a pathologist, comes to town to investigate the danger - and exorcise some of his own demons in the process.",113,"Fantasy",6.2,59,762,"Sean Ellis","Boyd Holbrook"
81,"Jungle Cruise","Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.",127,"Action",6.6,50,168914,"Jaume Collet-Serra","Dwayne Johnson"
82,"Boiling Point","Enter the relentless pressure of a restaurant kitchen as a head chef wrangles his team on the busiest day of the year.",92,"Drama",7.6,73,6858,"Philip Barantini","Stephen Graham"
83,"Um Lobo Entre Nós","Feature adaptation of the video game where werewolves attack a small town.",97,"Comedy",6,66,14969,"Josh Ruben","Sam Richardson"
